xmin,ymin,xmax,ymax,width,height,center_x,center_y,depth,state
0.341796875,0.5859375,0.390625,0.634765625,0.048828125,0.048828125,0.3662109375,0.6103515625,10,OCCUPIED
0.29296875,0.634765625,0.341796875,0.68359375,0.048828125,0.048828125,0.3173828125,0.6591796875,10,FREE
0.341796875,0.634765625,0.390625,0.68359375,0.048828125,0.048828125,0.3662109375,0.6591796875,10,OCCUPIED
0.1953125,0.68359375,0.29296875,0.78125,0.09765625,0.09765625,0.244140625,0.732421875,9,FREE
0.29296875,0.68359375,0.341796875,0.732421875,0.048828125,0.048828125,0.3173828125,0.7080078125,10,FREE
0.341796875,0.68359375,0.390625,0.732421875,0.048828125,0.048828125,0.3662109375,0.7080078125,10,OCCUPIED
0.29296875,0.732421875,0.341796875,0.78125,0.048828125,0.048828125,0.3173828125,0.7568359375,10,FREE
0.341796875,0.732421875,0.390625,0.78125,0.048828125,0.048828125,0.3662109375,0.7568359375,10,OCCUPIED
0.390625,0.390625,0.78125,0.78125,0.390625,0.390625,0.5859375,0.5859375,7,OCCUPIED
0.78125,0.0,0.9765625,0.1953125,0.1953125,0.1953125,0.87890625,0.09765625,8,FREE
0.9765625,0.0,1.171875,0.1953125,0.1953125,0.1953125,1.07421875,0.09765625,8,FREE
0.78125,0.1953125,0.830078125,0.244140625,0.048828125,0.048828125,0.8056640625,0.2197265625,10,FREE
0.830078125,0.1953125,0.87890625,0.244140625,0.048828125,0.048828125,0.8544921875,0.2197265625,10,FREE
0.78125,0.244140625,0.830078125,0.29296875,0.048828125,0.048828125,0.8056640625,0.2685546875,10,OCCUPIED
0.830078125,0.244140625,0.87890625,0.29296875,0.048828125,0.048828125,0.8544921875,0.2685546875,10,OCCUPIED
0.87890625,0.1953125,0.927734375,0.244140625,0.048828125,0.048828125,0.9033203125,0.2197265625,10,FREE
0.927734375,0.1953125,0.9765625,0.244140625,0.048828125,0.048828125,0.9521484375,0.2197265625,10,FREE
0.87890625,0.244140625,0.927734375,0.29296875,0.048828125,0.048828125,0.9033203125,0.2685546875,10,OCCUPIED
0.927734375,0.244140625,0.9765625,0.29296875,0.048828125,0.048828125,0.9521484375,0.2685546875,10,OCCUPIED
0.78125,0.29296875,0.87890625,0.390625,0.09765625,0.09765625,0.830078125,0.341796875,9,OCCUPIED
0.87890625,0.29296875,0.9765625,0.390625,0.09765625,0.09765625,0.927734375,0.341796875,9,OCCUPIED
