target_ratio,reached_ratio,count,num_free_cell,free_area
0.5,0.6023428791241087,826,277,1152.34375
0.8,0.8071649810296583,2299,919,1544.189453125
0.9,0.9059868596359574,5506,2158,1733.245849609375
