count,start_x,start_y,goal_x,goal_y,success,time,path_length,mean_abs_curvature,curvature_energy,mean_clearance,low_clearance_ratio
1,25.72227189271038,46.69241359234286,8.093815057096785,46.604096270663234,1,53.386613999919064,89.68151294288715,0.06826107853715487,0.19462180729812845,6.032235918701587,0.044543429844097995
2,16.13325259801548,21.031467932834175,40.867959638172785,20.34375291582249,0,9.09190300035334,,,,,
3,27.53334608588328,1.7655857608698962,37.310762827164865,26.620732074236802,0,8.749094999984663,,,,,
4,15.71914854091049,22.500208188306654,7.608686786128702,20.04748024070986,0,8.864576999712881,,,,,
5,10.936889358793021,13.19337899258163,37.159803339629995,14.074260638906127,0,8.698022999851673,,,,,
6,24.445400055351612,48.16612225456144,47.29074144407432,35.70665607457538,1,47.35205099996165,30.466244662825392,0.0725150207591848,0.40156942665206374,6.685942902128201,0.0
7,27.132177800416834,13.903026750617839,8.884583432686885,47.639806443194324,1,41.68871899992155,48.68528896934915,0.06585596105754646,0.15832355814803123,3.5134681516206654,0.07991803278688525
8,25.925902845991438,6.0643301380519965,31.076474285754323,38.23280635845937,1,18.636577000052057,33.5730101944553,0.03568110940736597,0.09222128569733708,5.652265453738622,0.0
9,30.573675508034334,45.07789913562928,3.0801064526535464,26.15564265385598,1,41.76126899983501,66.60012554843115,0.054218667268683685,0.20668931890115871,6.526967367206121,0.03143712574850299
10,23.20571428295368,3.4591793355715565,31.931780773640916,41.93002516391147,0,9.177803000056883,,,,,
11,29.611740150392166,13.085509737342681,41.45190817146299,25.226180291429174,1,16.21783000018695,17.374617142013573,0.03347215532611941,0.04359065866941888,7.681986643449545,0.0
12,25.677549374709514,37.08138715021911,8.274213658102799,40.323293255635086,0,10.497558000224672,,,,,
13,33.94359531411294,38.73974957969681,10.369240348833108,39.48295506171162,1,53.92165800003568,70.01434118326884,0.0666008098458735,0.15923319750869971,6.211611040025111,0.05555555555555555
14,10.355223727994408,4.393979755332618,42.18768356169996,42.35113761270267,0,12.457124999855296,,,,,
15,43.20944962912149,23.3964927296992,32.1424008155185,35.469071431505675,1,14.016250000167929,16.390034440268863,0.004823177714054559,0.001960083333600979,9.766075622196615,0.0
16,41.24514415502407,14.145774669988288,11.500891717144912,31.54654882840549,1,36.70774200008964,50.010835949592334,0.09229666067462361,0.3372696391956513,3.9543628219159648,0.0398406374501992
17,39.78205721018084,47.335336551538205,8.399011030149506,23.898024781536837,0,9.259912999823428,,,,,
18,44.08107513686411,21.00179553743029,33.47241479510211,45.16508054558601,1,13.32651899974735,26.39027340452203,0.0005693342399713381,4.8663670982977443e-05,8.547521548861141,0.0
19,40.82589705160552,43.530979209390054,32.84408708651707,12.377452987152058,1,16.194011999687064,32.784036869213686,0.01451394727620033,0.026091139412874918,8.662754828959116,0.0
20,38.030161140061594,10.728301228062312,41.03923948616679,3.4771102265397444,1,49.84927300029085,8.00272537919053,0.04936110034771837,0.19427929832769775,6.03271317712235,0.0
21,40.761766558976504,8.43219703881644,19.16907165635324,15.842769663569412,1,16.459968999697594,24.069478282193607,0.035345631137674145,0.06826794311994468,6.590954625941582,0.0
22,34.32957850468481,9.11685978722739,20.181202375902586,0.7075533573538942,0,9.094987000025867,,,,,
23,13.767681638491277,20.92740826095303,6.260382341637232,31.246124538372946,0,8.522083000116254,,,,,
24,32.53293835330709,21.416053095433558,42.7675375812533,31.196236070967778,1,12.704322999979922,15.3433185974785,0.05756435028905421,0.46851178959625756,10.793086671861287,0.0
25,40.03231984736786,17.06251833557386,27.24928629428681,9.979709912494004,1,12.28283199998259,14.616782719345181,0.0026699997717834875,0.0010297996986049632,7.15708282060181,0.0
26,48.94416122423822,12.263697843722962,13.54273167010622,37.572971773238024,1,32.591653000054066,62.44734743255448,0.06929174339446008,0.18360740488218547,3.8408600374730364,0.039936102236421724
27,34.64394767424237,6.687801777245177,33.06602941132795,22.61855240873525,1,13.609367999833921,16.685969825573952,0.0345378850703214,0.09926939226992415,9.52855843445865,0.0
28,29.30378846572932,41.29970743717552,36.014287765270325,18.1925005545799,1,14.115772999957699,24.22293097796636,0.03144020743322388,0.10866067597754758,8.713267179113778,0.0
29,22.68118960082176,18.32356153152236,6.443226465729873,10.317774652588831,0,9.166146000097797,,,,,
30,14.78952701409268,15.715994225510824,16.191576205666586,28.49765078571232,0,8.592849999786267,,,,,
31,47.77178777980841,38.13452280629604,39.11458623997089,37.385066114876615,1,8.688659999734227,8.689581338227896,5.576417880431194e-13,3.866902136180859e-25,6.56188495686454,0.0
32,29.805769701687147,45.09710587397703,34.247737965173314,24.78127348372422,1,17.12513900019985,21.399979368797293,0.033264112625883475,0.08202263698460958,7.154015362609129,0.0
33,4.877701124029633,24.201632968112733,11.386432909698668,6.883644837053833,0,8.877848999873095,,,,,
34,25.44625268912658,38.64182287303291,15.326536269258142,37.847683058557905,0,8.620511000117403,,,,,
35,26.38432544759514,7.67964388647342,47.44947389791812,19.975591707014328,0,8.602443000199855,,,,,
36,15.337459315394174,41.655740290349264,7.149284756289188,36.13506380772628,0,9.997901999668102,,,,,
37,10.187446793925028,19.530441641810757,12.300737276378248,41.3748393380241,1,18.70356899962644,23.591579825975828,0.045806737170644034,0.06411467972874062,2.9808651288025994,0.0
38,31.161424171860418,34.18944699997898,26.187529874398052,15.464529054853688,1,14.264246000038838,24.08539931991989,0.0618461114529875,0.23738038608234338,9.924198999610866,0.0
39,20.147651569690495,46.22851883776548,10.828909780312866,48.5303301236067,0,8.73573699982444,,,,,
40,37.540563139492704,17.93837549481006,31.940671207833162,18.970125404493064,1,12.386308000259305,5.75467129138888,0.05508614480089527,0.0996280858557979,8.078221833993283,0.0
41,19.473343127807937,24.94904942625429,1.983545576723262,24.4509872032303,0,9.173453999665071,,,,,
42,47.767397606879044,14.320408720961257,37.05687389361139,21.978896037986296,1,19.492829999762762,15.069624070869509,0.09744329105629879,0.2580311100516354,2.946641754589029,0.09210526315789473
43,11.216221720348978,44.47937424228169,1.9885543135978883,15.198772660190793,0,9.38340699985929,,,,,
44,49.08247486657343,13.185271648586607,41.89125071791892,29.908559021939666,1,14.868904999730148,26.193013872560037,0.07958207301874957,0.41925170207945045,4.44990404594987,0.0
45,39.82908763797267,31.107767215438237,2.4515955307243105,22.174786630441602,1,28.20370599965827,50.99923341916067,0.07240270469009193,0.2783752475791863,6.233580813313203,0.03913894324853229
46,19.011208187245714,23.64788924973191,7.300815678485803,11.255607028911436,0,8.72092600002361,,,,,
47,28.130670770061037,19.300543391614593,39.1396271526627,29.88195261047123,1,12.56992500020715,15.271761554762783,0.002169342600962075,0.00039984287707139655,10.204924799153243,0.0
48,42.47727229368221,36.07520594653353,30.03763002384506,14.425088508833237,1,47.249505000309,25.479339025581282,0.043759526896888404,0.09058200528165412,10.271384222208445,0.0
49,38.71309919403839,12.655673287243724,4.787910088725568,47.29608628619919,1,30.944614999953046,60.241185666174125,0.06225971964564058,0.17390707615394477,4.574347161874747,0.06456953642384106
50,27.07389045822832,38.09704726246372,26.556614283754335,30.19560355114689,0,46.38002999990931,,,,,
51,2.806775951524873,9.517095578471677,33.531366584977434,28.198994338813456,0,9.696934000203328,,,,,
52,8.784038833739093,46.76862537303286,8.086299883661521,35.345538729094905,1,13.458090999847627,11.546207003770267,0.029951228827829326,0.057254990177602834,5.563062235277752,0.0
53,14.430233985116566,6.95363072083096,10.377988730891767,26.563716632558915,0,9.349820999887015,,,,,
54,22.807894427564577,47.02492941506499,46.93085473222733,39.1997334097858,1,13.111687999753485,25.934438776094566,0.016999667793699855,0.03773278872625873,4.665781967624546,0.0
55,33.38264502515962,41.55958406345835,46.19248753616265,1.5250400660240395,1,16.087340000012773,43.050952434424914,0.0196606380852164,0.041663282436323855,7.444273108458559,0.0
56,6.844573644030181,17.961593733102657,5.668980067423064,29.608755809850415,1,15.970922000178689,12.124077406431553,0.056402784501082305,0.10238320324011209,2.7195767245111657,0.0
57,13.665530051255226,13.292023226758637,15.00632140612175,5.180793623794388,0,8.885548999842285,,,,,
58,36.708127818307005,32.098629064152185,30.262246715689336,2.081345897831204,0,8.58917499999734,,,,,
59,21.77344053390128,33.77959968892201,8.678152442931061,19.197767102072294,1,25.15827100023671,43.506114087805784,0.12390594838733321,0.5117303206674471,4.08244583435897,0.04805491990846682
60,2.1327256283246876,4.4088455844480325,11.560126615353957,20.609107813749866,0,9.081010000045353,,,,,
61,23.39290849253652,43.48236096613658,16.36469447933817,1.468870730109888,0,8.607059000041772,,,,,
62,40.797033510621816,3.434710727643438,5.640458027623243,47.31152452099303,1,31.52697299992724,64.90212375307826,0.06630757361253073,0.13193157686410073,4.434070719791928,0.059907834101382486
63,37.303681441712335,16.870694479668003,7.519367604493034,19.249987331720913,1,35.51332300003196,32.403072075763085,0.06590778367328548,0.18880872969179233,5.02055104867556,0.06441717791411043
64,17.44525987307695,42.991652320208544,21.2598692658514,4.417949145673699,0,9.092653000152495,,,,,
65,45.61967724832247,30.71811487687462,23.52204080529807,4.906887282149301,0,8.614447999661934,,,,,
66,31.47263707484924,30.429464356428827,2.7199478188693815,39.729207761916996,1,287.0319799999379,63.03268287774829,0.0830153477870909,0.2959472315662913,5.592364460762895,0.03322784810126582
67,38.90653326644796,44.98105374317922,33.32122495027914,34.15242101457607,1,9.23298900033842,12.18420927913009,4.4449292731356266e-13,2.8829427043451917e-25,8.494785104901792,0.0
68,9.032724071909511,1.5869162579138847,4.325315014386398,47.37381635718197,0,9.409171999777755,,,,,
69,32.14242335008687,46.519258024793736,4.31744266329049,8.514850460185166,0,14.14322299979176,,,,,
70,27.908064652693916,24.714583182062288,21.533676420772252,28.44923598408547,0,8.728608000183158,,,,,
71,47.530728115720535,22.7232431024421,41.33635005309858,3.1438502543504137,1,58.31180499990296,22.44844805978733,0.053889104379839646,0.08805494366449072,3.326429756040342,0.0
72,19.669655561391735,27.708878411813114,30.92451922509349,12.594860596185525,0,8.638684999823454,,,,,
73,20.326715762832606,46.52410177591365,32.29246955408909,28.900064072951107,0,8.563045000300917,,,,,
74,4.312635699029571,2.9639438885004843,11.317745906169378,7.133200871632683,0,8.58051399973192,,,,,
75,48.35003183411123,0.5577437705709131,18.722994099631137,3.268007382019801,0,8.534486999906221,,,,,
76,31.868604691425304,2.689240966218894,4.461796628579063,4.315599806906775,0,8.55187399974966,,,,,
77,39.80093817308979,13.430851029230297,14.759059650525845,40.5596544564614,1,30.059011000048486,56.344119495293164,0.06789579676040293,0.15660375645277447,3.897090793335262,0.049557522123893805
78,36.94805336721748,6.597332088520055,39.844106083253735,40.88916643039709,1,14.68970599989916,34.69311211806932,0.009458948285520723,0.007406182403062271,7.267967079878361,0.0
79,9.708022182842303,30.943728061717444,10.615084332911978,12.277194212567904,0,8.900058000108402,,,,,
80,11.402432067659472,38.325164328872916,25.882113302726644,15.207297778928005,1,28.654866999659134,40.19356989118086,0.11284129902026706,0.3632576247932229,3.0338337908247937,0.09429280397022333
81,9.54299275445069,24.043654072193856,19.22422578613584,30.756105922109967,0,9.01151000016398,,,,,
82,41.126500691994416,2.939491113807603,40.862808645215374,39.98851845688158,1,15.608970999892335,37.17933329433077,0.0061496126313593,0.003025842065772328,6.771684169124814,0.0
83,45.48436584216079,32.76693538623838,8.883222939557115,21.937056774714435,1,24.3596290001733,52.223213060803495,0.07247873395400659,0.21326873542976002,5.348683277222743,0.03816793893129771
84,22.25140545830879,31.20586829713625,10.95856829221334,17.625064959852068,1,42.10359599983349,39.35563787791105,0.14597645489335903,0.6568738639018553,3.9860975746308607,0.04810126582278481
85,27.23222283253243,21.2419887861506,7.056521695251861,47.44035098917062,1,36.657503000242286,56.873986060602924,0.09491319517640744,0.3045626756681907,4.020286041662552,0.06842105263157895
86,34.3275823016236,40.976009725561006,40.13649760018546,48.10619962656127,1,8.970243000021583,9.196907359008906,4.2073792557388073e-13,2.7208172918120755e-25,5.410258453967817,0.0
87,10.646280411158234,23.652536758926132,19.68220517619182,30.308310242969302,0,8.810496000023704,,,,,
88,13.179127662675594,5.314985978020431,24.034280013517254,31.55339109106442,0,8.678658999997424,,,,,
89,19.594289898212963,48.49238135692769,20.64785622778765,15.018979388611406,0,8.600893999755499,,,,,
90,40.206056146399,23.1423881490401,14.281777577497888,14.370344269035472,0,8.735234000141645,,,,,
91,46.59543604526891,47.24118371242288,32.16714173301138,13.994387702058672,1,14.56191499983106,37.049130138911714,0.01489866707105569,0.01865144393716736,6.455864784871185,0.0
92,35.290062276817686,10.976312215176044,16.624869114939283,26.795640925826735,0,14.666504000160785,,,,,
93,20.415569472996403,17.511791134474006,47.88899311533987,8.70961884762563,1,22.921138999663526,29.0221411596843,0.019116648008523304,0.029578204741428544,5.822086792437381,0.0
94,30.61084714915421,2.300200977774665,48.73055560628199,35.78623289904609,0,9.082958999897528,,,,,
