count,x,y,halt
0,0.0,0.0,0
1,-0.024997884407639503,-0.02500207908451557,0
2,0.07858542132781839,-0.011357483825946167,0
3,0.1751019656517514,0.02864542705091116,0
4,0.26479378156226413,0.08280792103522955,0
5,0.356522292263759,0.13318767772257584,0
6,0.45196345349283057,0.17309607538678598,0
7,0.5478951736070171,0.2119871391474466,0
8,0.6445457057041413,0.24925528200364297,0
9,0.7420263573697586,0.2845758496956679,0
10,0.8403231582444646,0.317939036388409,0
11,0.9393337597517545,0.3495657627820499,0
12,1.0389159092647648,0.37978819412975007,0
13,1.1389254106639874,0.40895290446522803,0
14,1.2392375173474162,0.4373644364607349,0
15,1.3397546360468031,0.4652634329087766,0
16,1.4404056671335863,0.49282644352653954,0
17,1.5411415225840719,0.520176000979051,0
18,1.6419297093215608,0.5473935465606387,0
19,1.7427494294154457,0.5745313818256707,0
20,1.843587713629523,0.6016222129780886,0
21,1.9444366085003821,0.6286861493001044,0
22,2.045291228875298,0.6557355772270287,0
23,2.1461484351384934,0.6827784886641104,0
24,2.247005908736098,0.7098208208635387,0
25,2.34786143110552,0.7368682946595844,0
26,2.4487121955660798,0.7639281814961902,0
27,2.5495539904118476,0.791011410996291,0
28,2.650380085613112,0.8181354471753065,0
29,2.7511796460753706,0.8453283847154033,0
30,2.851935506399145,0.8726346818356036,0
31,2.952621223327959,0.9001227292593476,0
32,3.0531975523604333,0.9278938498859216,0
33,3.1536089861183125,0.9560910459140209,0
34,3.2537818545637234,0.984903585138669,0
35,3.3536267185547772,1.0145603780775185,0
36,3.4530490205288515,1.0453020373588666,0
37,3.5519720411272417,1.077321544175142,0
38,3.6503728606228387,1.11067245496057,0
39,3.7483224322880524,1.1451684859976943,0
40,3.8460055714170833,1.180336712680925,0
41,3.9436891810813566,1.2155018257864303,0
42,4.0416403313505205,1.24998740281692,0
43,4.140044389194494,1.2833168373070172,0
44,4.238973407585552,1.3152964905794442,0
45,4.3384064250963155,1.3459667831374669,0
46,4.4382700559858135,1.3754982530781439,0
47,4.538475256303496,1.4040942307737112,0
48,4.638941467769161,1.43192326222052,0
49,4.739608916411849,1.4590795698091295,0
50,4.840443112537708,1.485561301843629,0
51,4.941435318300411,1.5112575263448838,0
52,5.042601151880646,1.5359404068547917,0
53,5.143977718871132,1.559265947573666,0
54,5.24561820610862,1.5807934288742735,0
55,5.347582201602837,1.6000373723111976,0
56,5.44992092622452,1.6165608110146383,0
57,5.55266004547888,1.6300969812395296,0
58,5.655788227700842,1.6406480486915578,0
59,5.759261131023079,1.6484867254987898,0
60,5.863015855007496,1.6540603657850181,0
61,5.966985994183566,1.6578721485124879,0
62,6.071111887001599,1.6603915988312419,0
63,6.175345324469154,1.6620080433542361,0
64,6.279650214637539,1.6630185363122783,0
65,6.384001060528374,1.6636360171135658,0
66,6.488380656250473,1.664005861430778,0
67,6.592777814314745,1.6642234952023591,0
68,6.697185480947646,1.6643495619484965,0
69,6.801599322578223,1.6644215684181516,0
70,6.906016735185017,1.6644621816130951,0
71,7.010436183708121,1.664484830040659,0
72,7.114856778201789,1.6644973325297014,0
