count,x,y,yaw
2,60.0,-38.0,0.688290027552822
2,61.77214725433385,-36.54247022975995,0.5157822647032518
2,64.60034008597553,-34.93895597760216,0.6974705553674974
2,66.05314611597208,-33.721542870445276,1.336757869923834
2,66.6365584504792,-31.274418157518834,1.207067928080326
2,67.59900028578049,-28.746104284542135,1.4881702864693684
2,67.74277795450955,-27.009964853150272,1.518380743544791
2,67.82062974262705,-25.526045878350914,1.7688224424955463
2,67.5177044911535,-24.016370306751117,1.8363870774657645
2,66.65417388862474,-20.84182285899115,1.8368504709597782
2,65.95414809266704,-18.273059040910315,1.8642636339227638
2,65.06100981798951,-15.317534220355672,1.838541035954316
2,64.72377457968469,-14.088236449439918,1.8458729101630822
2,63.99026877657593,-11.489283709769037,1.5284963827979665
2,64.0760444065201,-9.46269793406908,1.4715945964649515
2,64.24384935030224,-7.7766978357255265,1.5690669253650558
2,64.24836662351954,-5.164656099265814,1.588929389001167
2,64.2113316014683,-3.122476879643557,1.5662543128937718
2,64.22307945011204,-0.5360101462179432,1.4206729152070658
2,64.43789209489523,0.8841312277608395,1.5296420054763766
2,64.51435355254706,2.741002712818421,1.5481115784540636
2,64.59081099718838,6.11085844576983,1.5191985133113546
2,64.66107294828655,7.4713731979802755,1.5458303369648756
2,64.6895976943039,8.613679970821265,1.577048358549772
2,64.66401502573632,12.705523429947789,1.5698216490963197
2,64.66614736972353,14.893265403614324,1.4307397664078445
2,64.9808170796124,17.12528873599132,2.301955831849439
2,64.04070083902,18.173346750345907,0.6301598363911299
2,65.40129724620627,19.16571075337518,0.6730140817016514
2,66.11840680248855,19.737370307150123,1.12568405767802
2,66.36752440577199,20.25958457727894,0.3289230656245148
2,67.94300029893351,20.797329202482274,0.5144628074282774
2,69.31633090681287,21.57358037479749,1.2257017390227698
2,69.70108771076339,22.643897223698996,1.143352635697657
2,71.05603373117141,25.6183315629777,1.28590608039594
2,72.22109750020192,29.59660774123245,1.2890385191466067
2,73.42791102324765,33.76581937609888,1.3264082028563386
2,74.3880572689703,37.6160662507538,1.3195269305073716
2,75.0,40.0,1.3195269305073716
