count,start_x,start_y,goal_x,goal_y,success,time,path_length,mean_abs_curvature,curvature_energy,mean_clearance,low_clearance_ratio
1,28.087344598538596,15.139006974421747,29.071689901429398,2.446526236397312,1,78.50979899922095,46.237160776239875,0.6082245653885665,1.9499046427999387,2.8636956665167417,0.0
2,18.130463530685535,11.163397050382349,23.900685700724342,5.208906419373119,1,165.23595099897648,106.56454016645085,0.6311285894501076,2.2057829792143964,4.996881167507724,0.0
3,12.884803380424861,23.324245624045727,29.30627982616796,10.964063932360487,1,90.85325200067018,56.50103307604963,0.5254084603259391,1.7758468904318616,2.408688929371477,0.0
4,28.854850255513465,27.454311831238222,5.386637627950466,18.014376687981414,1,190.78350199924898,101.7341043769731,0.5188958204259375,1.807437833118805,4.611132553853983,0.0
5,21.0225810887772,27.860517281309967,19.85969044323701,3.9961813063750404,0,2.417702999082394,,,,,
6,14.883038961200496,14.616918000714987,14.952994834268438,28.32572890967936,1,90.75666999888199,58.14587601946997,0.40080309732892067,1.4081305175581034,5.275301778171539,0.0
7,10.495424433146521,6.660781737617871,15.601387257071659,18.967269266665372,1,154.6931199991377,113.03491214403063,0.4969378678937038,1.695862162714243,3.8426330183765836,0.0
8,27.970215582964826,17.22315768064937,8.060216831498902,27.47637470224297,0,2.349103000597097,,,,,
9,14.70085772241505,19.988287867903697,14.235599353679417,6.460554419492859,0,1.6045399988797726,,,,,
10,20.6573859796916,22.78421536243643,5.775063027524505,13.623204831607694,0,1.670376999754808,,,,,
11,10.84771621866471,5.096927444896213,6.681567190122732,28.441456102588123,0,1.636532000702573,,,,,
12,26.34235429899972,11.334557026824491,22.04907025595146,1.3005543889685938,1,32.79957999984617,24.388842544162404,0.4825822161815633,1.6496575969811722,3.1626274156241365,0.0
13,27.256896182470687,15.900962890185255,24.44543955315037,8.19886089677085,0,1.9163459983246867,,,,,
14,11.272114307744902,10.324796293333604,28.958862010332957,12.725245603143929,1,180.41865899976983,119.14596286885707,0.5728864894828078,2.012673823787242,6.074700692710391,0.0
15,14.93717272495778,28.24897235394376,26.90508035713803,11.709550822679207,1,162.2247499999503,113.88655272290204,0.4868932933373219,1.6479497700447852,4.150567785554117,0.0
16,9.232515664257686,23.85793642366352,3.3038805985352617,11.626359731502946,1,40.95600599976024,27.415083600718976,0.31390247650623077,1.0635125224452397,1.990740879475943,0.0
17,26.11132535110244,27.118670250707623,7.041183482917996,2.384142471843351,0,2.426926999760326,,,,,
18,23.48029304332236,18.39549614847987,7.1606703765837585,14.978782005373356,1,140.73606000056316,68.02833890546131,0.5199290122431643,1.5865928376071572,4.699487195771338,0.0
19,2.2345365333795684,20.70434230580668,15.738963946781254,20.838803989569396,1,100.80117300094571,68.63432708067697,0.42392442274304093,1.528410091538462,4.92719147320969,0.0
20,2.731376216665316,19.074710778345423,11.1004441140733,14.784642838393015,1,204.1487690003123,152.43591249590415,0.5217599389150083,1.6977815806731356,6.680420700236114,0.0
21,10.06669162560775,18.75839505168653,16.970907612323035,18.25800459090422,0,2.5788719995034626,,,,,
22,14.382997356518015,3.375437124276398,19.916983776977528,14.432259332055436,1,157.08722100134764,111.31178245299604,0.6015531240986355,2.0796603694983613,4.102699851779156,0.0
23,14.956065321406259,17.678681951033646,27.844793468880244,17.425096399139303,1,84.94143999996595,53.660710272428865,0.47880155168660893,1.5046865693231055,3.725292255564898,0.0
24,2.888965618511685,4.381635553448455,20.69716252511354,9.575129091972972,1,185.64418899950397,137.17940796845855,0.5413630415039765,1.7720994694571606,5.924038807160742,0.0
25,22.518113488944522,15.118700147505688,11.377844502437958,21.864860971495357,1,105.42499799885263,55.74052036171023,0.722666831534141,2.3820259977034195,6.9483944972199225,0.0
26,5.543486414140844,8.46050936934752,8.77524405277906,12.308291915491225,1,11.893400998815196,7.94112287980565,1.1751703126735624,4.000701388538524,6.447919991083474,0.0
27,27.021296104937342,24.01985184740779,24.485052995727706,18.671811367907598,0,3.5501170004863525,,,,,
28,0.35989191551398125,8.49944115702198,14.999656393280686,26.552947007868394,1,61.509270999522414,39.051316586784544,0.2590560108032583,0.917724494849359,1.1066694720155423,0.007653061224489796
29,10.905949694178256,16.295708646125284,25.284137322334317,10.129106324393511,1,142.16411699999298,105.0667647353767,0.6327993050850121,2.1816300643947963,6.0998673868278654,0.0
30,22.30419378501712,17.606782226974097,15.697630816112554,18.6317445750281,0,3.210592998584616,,,,,
31,14.497083906067381,3.3940299117295156,26.718524484048043,28.654485240221877,1,97.79214199988928,62.77851820377316,0.43701462872279323,1.3533899930252198,2.3508660597585,0.0
32,24.827930978367824,10.494272836032549,18.918201251592432,22.788125251052545,1,102.98456199961947,61.46750525074173,0.6592504474364351,2.2643359412358413,3.0890611153622416,0.0
33,7.278025312659599,28.460169715127158,6.999610217341611,15.848305413391293,0,2.7091779993497767,,,,,
34,24.777790999502283,29.17957208964477,21.047268884407497,24.673972662768893,1,20.01827999993111,13.995554523863536,0.811373226168542,2.78115193655058,2.1291834359314366,0.0
35,11.736659152096546,22.197086361454105,11.524845075448198,27.478491594609466,0,3.2040410005720332,,,,,
36,23.058394928489072,11.249513248498904,23.376258125235235,2.0241892100392223,0,3.0637140007456765,,,,,
37,27.554065254302312,20.49909672754374,9.821011547355962,19.13757376783863,1,60.56102299953636,42.23391001086164,0.5905029156155217,1.9213342548640164,6.262396160468633,0.0
38,23.377922145390905,18.58823042687337,26.412971345687385,12.309440751613858,0,3.6765259992534993,,,,,
39,28.88860844170872,19.51377196914953,2.626476194858748,18.507933238818044,1,208.18535299986252,106.68402902436479,0.4498681842875709,1.4409788972263096,4.335383582776115,0.0
40,0.7042099979875525,20.04332049596342,29.729233325016292,14.46866710916993,1,143.7854759988113,94.82051132604865,0.40015855128163674,1.2689177678231114,4.444406147627818,0.02736842105263158
41,25.016543329409373,8.857895275249572,11.780114541186185,3.9717353608719477,0,2.7999450012430316,,,,,
42,1.2265163520891844,22.2406246713503,22.245847344514463,3.704568174833517,0,3.2151770010386826,,,,,
43,18.58170504564779,7.657136670934743,26.712438468836044,4.019535923889944,0,3.1659600008424604,,,,,
44,17.54800247837817,26.29748816890456,16.085661194233385,19.842569817199852,0,3.3025619995896704,,,,,
45,24.152069254701242,20.90690622571301,24.583108949187622,6.663015596282096,1,191.7133360002481,104.42606788799816,0.5492309227127021,1.8532595824005007,3.1375214740325923,0.0
46,27.113775318757607,14.91579993618808,27.271647575447936,20.662078979621526,1,59.52888899992104,41.49461179615841,0.4756480418077725,1.4115151901155052,2.103533955763753,0.0
47,21.889090968416305,28.101458993667066,3.253472571774692,25.727425974828755,0,3.810505000728881,,,,,
48,8.787770935706451,24.277538407644606,6.758426291736021,13.879488511299387,0,3.5122120007144986,,,,,
49,4.2456816349235815,23.807690123430564,8.795428272000333,14.016164897415551,0,3.4815100007108413,,,,,
50,9.391167279553502,15.692971771869809,28.0090165745252,27.32250964558283,0,3.524722000292968,,,,,
51,7.549375882102816,7.610801434336039,7.6104739054688775,18.505183108637183,0,3.6339100006443914,,,,,
52,5.883767194104747,20.857007213128277,9.599636765313162,24.76525952320323,1,26.572734999717795,11.422148977265243,0.6776437620161273,2.239454309279142,5.5137945754998805,0.0
53,7.421816226711869,27.379914877604655,9.945657015561983,1.090438362889369,0,4.027281000162475,,,,,
54,4.91664669432246,24.126419620377046,5.1671076193931125,7.456587990549434,1,209.3721290002577,129.62978070032517,0.5899300974495238,1.8671640851398885,8.034888768937934,0.0
55,29.63895710709945,12.356253291487267,19.18013446809717,16.124629767141997,0,3.6295320005592657,,,,,
56,14.017633597832557,26.521933881259535,1.1984437203098595,11.29387549779978,1,51.32912199951534,36.976322876328716,0.3253515178493732,1.109617380529337,1.1400402419473763,0.0
57,13.502670755071934,20.25235354842866,21.72144117228434,0.15931573992649184,0,2.6933790013572434,,,,,
58,3.0191046755647037,7.102218840585111,10.02247761615125,22.698728594094135,0,3.9717199997539865,,,,,
59,22.136402133179907,27.40404985896865,12.03265291400326,12.423342381284872,0,3.966315000070608,,,,,
60,4.316336196861322,26.45071379517297,26.76444297897142,28.2454648605302,0,4.0267770000355085,,,,,
