count,x,y,halt
0,60.0,-38.0,0
1,59.975001483783124,-38.024999593570826,0
2,59.99081287231957,-37.97756542796147,0
3,60.00662426085602,-37.93013126235213,0
4,60.02243564939248,-37.882697096742774,0
5,60.038247037928926,-37.83526293113343,0
6,60.054058426465375,-37.787828765524075,0
7,60.06986981500182,-37.74039459991473,0
8,60.08568120353827,-37.69296043430538,0
9,60.10149259207473,-37.645526268696024,0
10,60.117303980611176,-37.59809210308668,0
11,60.133115369147625,-37.550657937477325,0
12,60.14892675768407,-37.50322377186798,0
13,60.16473814622052,-37.45578960625863,0
14,60.18054953475697,-37.40835544064928,0
15,60.196360923293426,-37.36092127503993,0
16,60.212172311829875,-37.313487109430575,0
17,60.22798370036632,-37.26605294382123,0
18,60.24379508890277,-37.21861877821188,0
19,60.25960647743922,-37.17118461260253,0
20,60.275417865975676,-37.12375044699318,0
21,60.291229254512125,-37.07631628138383,0
22,60.30704064304857,-37.02888211577448,0
23,60.32285203158502,-36.981447950165126,0
24,60.33866342012147,-36.93401378455578,0
25,60.354474808657926,-36.88657961894643,0
26,60.370286197194375,-36.83914545333708,0
27,60.38609758573082,-36.79171128772773,0
28,60.40190897426727,-36.74427712211838,0
29,60.42500149048865,-36.67499957345426,0
30,60.42500149048865,-36.6249995727092,0
31,60.4387375470882,-36.576923374610764,0
32,60.45247360368775,-36.528847176512336,0
33,60.466209660287305,-36.4807709784139,0
34,60.47994571688685,-36.43269478031547,0
35,60.49368177348641,-36.38461858221704,0
36,60.50741783008596,-36.33654238411861,0
37,60.52115388668551,-36.28846618602017,0
38,60.534889943285066,-36.240389987921745,0
39,60.548625999884614,-36.19231378982331,0
40,60.56236205648417,-36.144237591724874,0
41,60.57609811308372,-36.096161393626446,0
42,60.58983416968327,-36.04808519552801,0
43,60.60357022628283,-36.00000899742958,0
44,60.617306282882375,-35.951932799331146,0
45,60.63104233948193,-35.90385660123272,0
46,60.64477839608148,-35.85578040313428,0
47,60.65851445268103,-35.80770420503585,0
48,60.67225050928059,-35.75962800693742,0
49,60.685986565880135,-35.71155180883898,0
50,60.69972262247969,-35.663475610740555,0
51,60.71345867907924,-35.61539941264212,0
52,60.72719473567879,-35.56732321454369,0
53,60.74093079227835,-35.519247016445256,0
54,60.754666848877896,-35.47117081834683,0
55,60.76840290547745,-35.42309462024839,0
56,60.782138962077,-35.37501842214996,0
57,60.795875018676554,-35.32694222405153,0
58,60.80961107527611,-35.27886602595309,0
59,60.82500149644911,-35.224999551847574,0
60,60.84081288498556,-35.17756538623822,0
61,60.85662427352201,-35.130131220628876,0
62,60.872435662058464,-35.08269705501952,0
63,60.88824705059491,-35.03526288941018,0
64,60.90405843913136,-34.987828723800824,0
65,60.91986982766781,-34.94039455819148,0
66,60.93568121620426,-34.892960392582125,0
67,60.951492604740714,-34.84552622697277,0
68,60.96730399327716,-34.79809206136343,0
69,60.98311538181361,-34.750657895754074,0
70,60.99892677035006,-34.70322373014473,0
71,61.01473815888651,-34.655789564535375,0
72,61.03054954742296,-34.60835539892603,0
73,61.04636093595941,-34.56092123331668,0
74,61.0750015001744,-34.4749995406717,0
75,61.08712828160692,-34.42649241494163,0
76,61.09925506303944,-34.377985289211544,0
77,61.111381844471964,-34.32947816348147,0
78,61.12350862590448,-34.280971037751385,0
79,61.135635407337,-34.23246391202131,0
80,61.14776218876952,-34.183956786291226,0
