num_sensors,ppm_area,coverage_ratio
1,97.75351033512383,0.05109684576303451
2,240.02924584257283,0.12546595320606704
3,250.97518466346182,0.1311875170224982
4,274.41534760859497,0.14343995058280498
5,273.0464058848524,0.1427243895366916
6,280.1284662377563,0.14642626115538077
7,294.11266935737484,0.153735959471814
8,317.0971591725417,0.16575020762516784
9,348.6341358326306,0.18223493565906204
10,364.2922921901893,0.19041962792835007
11,382.25067191005434,0.19980667250152323
12,396.4058858134417,0.20720576005433375
13,407.6289112639641,0.21307216013013644
14,430.7483598620461,0.22515695273853176
15,443.6670300608964,0.23190968516063268
16,455.22220828366,0.2379497051802593
17,474.05528410262565,0.2477939631211371
18,487.6007194338765,0.2548743126404668
19,590.6591714949673,0.3087441103744774
20,625.50047073278,0.3269560445263559
21,638.9238781650187,0.33397260870730505
22,650.3217392138644,0.3399303972925412
23,662.3554549433392,0.346220554182838
24,689.2446422711769,0.36027583110203615
25,707.9876938333118,0.3700730323638194
26,721.237170259169,0.37699868087559185
27,740.7806312081206,0.38721426501534273
28,744.1241837321827,0.38896197706207036
29,771.268396889642,0.40315055881540784
30,780.4082460565978,0.40792805950648575
31,779.5336546723686,0.4074709008744076
32,827.448886906686,0.4325167250374831
33,834.4405524385185,0.4361713462790326
34,842.1089715940748,0.4401797141575309
35,852.7880620712065,0.44576179338035166
36,874.7101968449756,0.4572207367522221
37,884.4621882852623,0.4623182110096526
38,899.511530130442,0.4701846691702045
39,906.0557608458182,0.4736054112627894
40,918.1287313620526,0.4799160870661936
41,921.5014418465397,0.48167904030274133
42,923.5306083626957,0.48273970818206435
43,941.6379185894515,0.4922046003856082
44,950.6730607187455,0.49692736954494504
45,965.9230024517453,0.5048986834952571
46,975.9918064980787,0.510161759221233
47,990.756058981503,0.5178791980054335
48,1013.6520378987773,0.5298471805292211
49,1020.1407818843109,0.5332389190917338
50,1026.5055976559047,0.5365658790001434
51,1039.041089061974,0.5431183196106533
52,1044.297422757982,0.5458658636243997
53,1049.3203421481828,0.5484913993875796
54,1066.4815775963573,0.5574617677947326
55,1071.8849597740366,0.5602861756833606
56,1082.65405639489,0.5659153021173526
57,1089.7713605282768,0.5696355960516115
58,1098.7883049522554,0.5743488530682278
59,1127.814970674006,0.5895214136884527
60,1136.6427927193604,0.5941358143368651
61,1148.1053096941755,0.6001273992928465
62,1159.6993026254418,0.606187708191787
63,1170.7261982651444,0.6119515890367342
64,1185.175446391219,0.6195043715440706
65,1185.1168071903217,0.6194737201823584
66,1211.9666811398206,0.6335084475619798
67,1212.4649340240235,0.6337688898794763
68,1217.7368047684236,0.636524555281013
69,1222.0616504677917,0.6387852001713289
70,1238.258630968914,0.6472515418060738
71,1242.254350981475,0.649340149043749
72,1262.5937430102758,0.6599717752006677
73,1266.365430607128,0.6619432782059512
74,1276.1480110828456,0.6670567416920048
75,1290.8359391840456,0.6747342848737548
76,1301.5548339646016,0.680337170248148
77,1308.7472369575012,0.6840967191905222
78,1312.8815720724888,0.6862577820820643
79,1324.5834196626972,0.6923744678093551
80,1333.4277684805713,0.6969975071853539
81,1337.9553248094553,0.6993641111735619
82,1345.5247410985235,0.7033207291539573
83,1346.4227943771848,0.7037901515788854
84,1349.581492908956,0.7054412383903618
85,1355.9453592176717,0.7087677020039777
86,1357.6110536876304,0.7096383790070646
87,1371.3611158405758,0.7168256892392246
88,1374.8411154110788,0.7186447236728711
89,1376.4075534699407,0.7194635182472718
90,1380.6879220441615,0.7217009144501917
91,1383.2900615473536,0.7230610816748027
92,1379.854376966118,0.7212652111783265
93,1381.853313317452,0.7223100774146802
94,1386.890972162958,0.7249433176548838
95,1398.1999349781847,0.7308546381458669
96,1405.0764330371894,0.7344490600700125
97,1420.37810057258,0.7424474116718389
98,1425.444159103584,0.7450954967431349
99,1426.397163621935,0.7455936427914835
100,1422.8160856365455,0.7437217735475297
101,1425.0317290573453,0.7448799149764193
102,1425.1846184430742,0.7449598319567364
103,1432.4725693385587,0.7487693248492013
104,1437.397072844335,0.7513434175363236
105,1454.2054708764078,0.760129353906528
106,1462.2269209265462,0.7643222549553258
107,1465.902148337104,0.7662433371496895
108,1465.466866283662,0.7660158103849534
109,1466.4796003974193,0.7665451777563369
110,1467.7201517204244,0.767193627713739
111,1472.6688993700002,0.7697803930841454
112,1475.85987019214,0.7714483489802995
113,1481.509881698322,0.7744016727586581
114,1483.9525736537034,0.7756784949787793
115,1489.3751167434893,0.7785129184890175
116,1492.3255525377574,0.7800551440540803
117,1497.0881542775232,0.7825446088895966
118,1498.7472537857711,0.7834118386329362
119,1502.7526073967251,0.7855054814595078
120,1505.8709498921955,0.787135473722508
121,1509.6537899453438,0.7891128062405863
122,1513.7789915691874,0.7912690949548467
123,1519.3810670161192,0.7941973620225298
124,1520.2058764116073,0.7946284990560815
125,1518.734603287109,0.793859448250028
126,1525.0741637771437,0.7971732069422142
127,1531.341959122909,0.8004494531962759
128,1536.9999506897032,0.8034069482409644
129,1537.3596935112917,0.8035949898100707
130,1542.1224138856733,0.8060845166572186
131,1547.1908275990872,0.8087338328085232
132,1552.491818761797,0.8115047197761993
133,1554.3190309924346,0.8124598239070396
134,1555.0905266777568,0.8128630932720436
135,1563.134578947257,0.8170678087519824
136,1575.0102515560384,0.8232753547474447
137,1583.2780338172843,0.8275970163794101
138,1588.6317734224222,0.8303954755439081
139,1587.7768815353777,0.8299486140578436
140,1589.6079396975779,0.8309057284998348
141,1593.6493833382817,0.8330182359858688
142,1595.1067740028689,0.8337800302759111
143,1601.3721688090723,0.837055021741277
144,1603.4230747796792,0.8381270530749378
145,1603.5967877960688,0.8382178547983242
146,1605.595777030684,0.8392627486773566
147,1608.6916733555888,0.8408810080776552
148,1609.2260290700742,0.8411603217455946
149,1612.5017169719706,0.8428725602004309
150,1611.053477770162,0.8421155494816435
151,1612.0508416313871,0.8426368826512854
152,1611.9172289708767,0.8425670418293786
153,1614.4842020434328,0.843908827170044
154,1615.4147298459304,0.8443952243893299
155,1615.616988375816,0.844500947169723
