num_sensors,quadtree_area,coverage_ratio
1,0.0,0.0
4,0.0,0.0
16,0.0,0.0
64,0.0,0.0
256,281.25,0.36221385105766446
784,482.51953125,0.6214231382208055
2209,616.9921875,0.7946066357577514
