target_ratio,reached_ratio,count,num_free_cell,free_area
0.5,0.6214231382208055,784,309,482.51953125
0.8,0.858842998406259,5470,1829,666.8701171875
0.9,0.9347522683642422,12136,6121,725.811767578125
