num_sensors,quadtree_area,coverage_ratio
1,0.0,0.0
4,0.0,0.0
16,0.0,0.0
64,0.0,0.0
256,0.0,0.0
1024,252.24609375,0.35997443849357086
3235,472.8515625,0.6747952888834186
8440,592.657470703125,0.845767468838662
19111,653.4255981445312,0.932488227240995
40630,676.4110565185547,0.9652902316197305
