count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
225,112500,36.066002,-31.302000,0.000000,0.000000,0.000000,-2.008000, 
228,114000,35.417999,-32.094002,0.000000,0.000000,0.000000,-2.490000, 
231,115500,34.449001,-32.658001,0.000000,0.000000,0.000000,-2.722000, 
234,117000,33.384998,-33.037998,0.000000,0.000000,0.000000,-2.859000, 
237,118500,32.283001,-33.285000,0.000000,0.000000,0.000000,-2.947000, 
240,120000,31.179001,-33.537998,0.000000,0.000000,0.000000,-2.913000, 
243,121500,30.075001,-33.736000,0.000000,0.000000,0.000000,-2.972000, 
246,123000,28.962999,-33.938000,0.000000,0.000000,0.000000,-2.957000, 
249,124500,27.856001,-34.167000,0.000000,0.000000,0.000000,-2.937000, 
252,126000,26.747999,-34.388000,0.000000,0.000000,0.000000,-2.965000, 
255,127500,25.629000,-34.558998,0.000000,0.000000,0.000000,-3.022000, 
258,129000,24.506001,-34.652000,0.000000,0.000000,0.000000,-3.070000, 
261,130500,23.385000,-34.733002,0.000000,0.000000,0.000000,-3.097000, 
264,132000,22.267000,-34.736000,0.000000,0.000000,0.000000,3.124000, 
267,133500,21.143999,-34.756001,0.000000,0.000000,0.000000,-3.100000, 
270,135000,20.025000,-34.769001,0.000000,0.000000,0.000000,3.123000, 
273,136500,18.907000,-34.728001,0.000000,0.000000,0.000000,3.082000, 
276,138000,17.794001,-34.636002,0.000000,0.000000,0.000000,3.017000, 
279,139500,16.709999,-34.375999,0.000000,0.000000,0.000000,2.817000, 
282,141000,15.685000,-33.952999,0.000000,0.000000,0.000000,2.669000, 
285,142500,14.772000,-33.327999,0.000000,0.000000,0.000000,2.408000, 
288,144000,14.029000,-32.495998,0.000000,0.000000,0.000000,2.199000, 
291,145500,13.469000,-31.527000,0.000000,0.000000,0.000000,2.017000, 
294,147000,13.015000,-30.518000,0.000000,0.000000,0.000000,1.979000, 
297,148500,12.592000,-29.518999,0.000000,0.000000,0.000000,1.963000, 
300,150000,12.172000,-28.511999,0.000000,0.000000,0.000000,1.970000, 
303,151500,11.740000,-27.514999,0.000000,0.000000,0.000000,1.987000, 
306,153000,11.277000,-26.534000,0.000000,0.000000,0.000000,2.037000, 
309,154500,10.776000,-25.573999,0.000000,0.000000,0.000000,2.049000, 
312,156000,10.278000,-24.604000,0.000000,0.000000,0.000000,2.010000, 
315,157500,9.872000,-23.590000,0.000000,0.000000,0.000000,1.897000, 
318,159000,9.566000,-22.542999,0.000000,0.000000,0.000000,1.819000, 
321,160500,9.408000,-21.483999,0.000000,0.000000,0.000000,1.644000, 
324,162000,9.375000,-20.392000,0.000000,0.000000,0.000000,1.571000, 
327,163500,9.382000,-19.287001,0.000000,0.000000,0.000000,1.563000, 
330,165000,9.389000,-18.186001,0.000000,0.000000,0.000000,1.576000, 
333,166500,9.371000,-17.080000,0.000000,0.000000,0.000000,1.563000, 
336,168000,9.413000,-15.963000,0.000000,0.000000,0.000000,1.525000, 
339,169500,9.477000,-14.838000,0.000000,0.000000,0.000000,1.509000, 
342,171000,9.545000,-13.717000,0.000000,0.000000,0.000000,1.507000, 
345,172500,9.623000,-12.601000,0.000000,0.000000,0.000000,1.497000, 
