count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
888,444000,64.938004,20.902000,0.000000,0.000000,0.000000,0.390000, 
897,448500,68.306999,21.135000,0.000000,0.000000,0.000000,-0.089000, 
903,451500,70.581001,20.941999,0.000000,0.000000,0.000000,-0.042000, 
906,453000,71.721001,20.884001,0.000000,0.000000,0.000000,-0.069000, 
912,456000,73.995003,20.600000,0.000000,0.000000,0.000000,-0.138000, 
921,460500,77.390999,20.247000,0.000000,0.000000,0.000000,-0.079000, 
927,463500,79.149467,20.118999,0.000000,0.000000,0.000000,-0.041000, 
930,465000,80.815002,20.105000,0.000000,0.000000,0.000000,0.010000, 
936,468000,82.890999,20.921000,0.000000,0.000000,0.000000,0.768000, 
939,469500,83.353996,21.862000,0.000000,0.000000,0.000000,1.400000, 
942,471000,83.320999,23.000000,0.000000,0.000000,0.000000,1.896000, 
948,474000,81.607002,24.101000,0.000000,0.000000,0.000000,3.124000, 
960,480000,77.167000,24.556999,0.000000,0.000000,0.000000,2.713000, 
975,487500,74.236000,29.068001,0.000000,0.000000,0.000000,1.732000, 
987,493500,73.977997,33.556999,0.000000,0.000000,0.000000,1.582000, 
1011,505500,74.139999,42.618999,0.000000,0.000000,0.000000,1.510000, 
1032,516000,74.678001,50.583000,0.000000,0.000000,0.000000,1.508000, 
1050,525000,75.146004,57.393002,0.000000,0.000000,0.000000,1.487000, 
1062,531000,75.606003,61.917000,0.000000,0.000000,0.000000,1.427000, 
1080,540000,74.599998,68.516998,0.000000,0.000000,0.000000,2.240000, 
1095,547500,69.468002,70.405998,0.000000,0.000000,0.000000,3.080000, 
1116,558000,61.623001,69.954002,0.000000,0.000000,0.000000,-3.142000, 
1137,568500,53.898998,68.665001,0.000000,0.000000,0.000000,-2.944000, 
1164,582000,44.027000,66.469002,0.000000,0.000000,0.000000,-2.850000, 
1176,588000,39.709999,65.416000,0.000000,0.000000,0.000000,-2.928000, 
1191,595500,35.426998,62.338001,0.000000,0.000000,0.000000,-2.040000, 
1224,612000,33.639000,50.424000,0.000000,0.000000,0.000000,-1.627000, 
1260,630000,33.409000,36.980000,0.000000,0.000000,0.000000,-1.658000, 
1278,639000,34.417000,30.514000,0.000000,0.000000,0.000000,-0.939000, 
1284,642000,35.828999,28.771000,0.000000,0.000000,0.000000,-0.822000, 
1290,645000,37.500000,27.285000,0.000000,0.000000,0.000000,-0.601000, 
1299,649500,39.922001,25.139000,0.000000,0.000000,0.000000,-1.267000, 
1308,654000,39.804001,21.829000,0.000000,0.000000,0.000000,-1.699000, 
1317,658500,39.047001,18.530001,0.000000,0.000000,0.000000,-1.897000, 
1329,664500,37.826000,14.219000,0.000000,0.000000,0.000000,-1.927000, 
1335,667500,36.766998,12.220000,0.000000,0.000000,0.000000,-2.173000, 
1338,669000,36.084000,11.304000,0.000000,0.000000,0.000000,-2.242000, 
1359,679500,28.684999,9.522000,0.000000,0.000000,0.000000,-3.065000, 
1368,684000,25.320999,9.471000,0.000000,0.000000,0.000000,3.120000, 
