num_sensors,ppm_area,coverage_ratio
1,6.264029789453758,0.0089392488606798
2,12.312821388060891,0.017571336386408756
3,17.786499673905666,0.02538269329643593
4,23.274972256047334,0.03321516279704165
5,31.882485813241274,0.045498741953861346
6,36.90784309986885,0.05267031056208022
7,42.095159251560645,0.06007300683869555
8,47.58445087254745,0.06790664517027899
9,60.91598346436291,0.08693176023808173
10,65.16768334686745,0.09299926065045531
11,74.46747389749663,0.10627077194247332
12,82.82516229098962,0.1181978315128532
13,89.21869057856627,0.12732188461947602
14,95.61088916896819,0.13644404014668854
15,100.25731822261326,0.14307484922967795
16,104.91757778773618,0.14972539550870992
17,113.52064729756538,0.16200263267057152
18,119.89710914510522,0.17110233066398725
19,128.76467258789117,0.18375702086619378
20,133.49685502345707,0.19051020657372061
21,138.1867340147864,0.19720302203582948
22,143.01506201997202,0.20409341481333698
23,146.6804833089373,0.2093242509017062
24,148.72162022882603,0.21223710915731767
25,152.31394293315685,0.21736362798325765
26,157.59748067081333,0.22490363981098285
27,160.31873823652444,0.22878708216543256
28,165.4548705007869,0.23611673512604098
29,171.22802767614127,0.24435547128103174
30,173.89498338107518,0.24816142073340383
31,178.5925648643166,0.2548652282396702
32,189.1229249557898,0.26989285623861986
33,193.15527194748128,0.27564732332497244
34,198.2872160245757,0.28297099942266213
35,197.61493789903184,0.2820116071991536
36,201.72931735961245,0.2878831408830007
37,204.86695904346468,0.29236079517111085
38,208.24218001892547,0.29717749325103193
39,212.06083430515403,0.3026270045280968
40,215.45165219765772,0.307465960599693
41,217.55492833599288,0.31046749626527403
42,226.17547056625506,0.3227696683334936
43,229.6292250696204,0.32769843975492846
44,234.5288422040694,0.334690567563872
45,243.40413000185222,0.34735628101052757
46,246.18893154471456,0.3513304054728926
47,249.4095322367276,0.355926448600793
48,253.33882076828579,0.3615338433945008
49,259.83857467241774,0.37080948856784174
50,265.22630604178585,0.3784981926647411
51,269.75221909081296,0.38495701620596495
52,273.95493385033024,0.39095461110709856
53,282.312901490185,0.4028820691833613
54,283.6594335234539,0.40480367322243105
55,285.56848097073157,0.40752802971364577
56,287.02308124433614,0.40960385538427974
57,293.31585075615055,0.4185841180234702
58,295.91489452266865,0.42229315195364403
59,303.9021044823072,0.4336915105074171
60,305.93957424677575,0.4365991354522025
61,309.6171606380324,0.4418473320705266
62,310.8616839301068,0.44362336184603884
63,310.8331099525663,0.44358258459804367
64,314.2316976526769,0.4484326287784344
65,319.8366092598247,0.45643126565956194
66,322.28582817669326,0.4599264880879473
67,326.4824808806367,0.4659154319728496
68,329.8025303581458,0.47065339611203555
69,330.58562422569514,0.4717709308618034
70,332.61409890518405,0.47466571913341543
71,339.97972659456224,0.4851770323205462
72,344.88834209331117,0.4921820014825037
73,348.8630250070641,0.49785417752613453
74,352.4602230736334,0.5029876538662946
75,355.39026058330137,0.507169041144201
76,359.2151520616969,0.51262745337079
77,364.0761079616658,0.5195644086457745
78,368.17487680184644,0.5254136647822095
79,370.74917250319436,0.5290873813335055
80,375.145009983083,0.5353605771043792
81,381.937092233156,0.5450533971509619
82,387.068170928475,0.5523758382827734
83,386.48579412353035,0.5515447421090527
84,390.02977989934425,0.5566022804467611
85,389.6214608575878,0.5560195779929891
86,393.32944126795155,0.5613111491976109
87,398.75513444947114,0.5690540276993952
88,400.2212716389389,0.5711463174299798
89,402.38385610701704,0.5742324906111703
90,402.9695084492231,0.5750682612266987
91,407.485069893142,0.5815123122369353
92,411.1385160363143,0.5867260588777788
93,413.3839791419405,0.5899305062037578
94,413.2342740249765,0.5897168655696549
95,414.396673745288,0.5913756987369146
96,417.5365156491359,0.5958564929069778
97,420.90454758237615,0.6006629316746608
98,422.9658163407556,0.6036045196011616
99,426.58201930710396,0.608765117384611
100,431.00202464777436,0.6150728025383931
101,433.52999284517944,0.6186804062037741
102,435.7591621616729,0.6218616010483893
103,438.4748913968104,0.6257371540529407
104,441.3460225308762,0.6298344774344916
105,443.1443966385813,0.6324008946185934
106,445.3551382884607,0.635555791775726
107,447.0441364173581,0.6379661210855987
108,451.86189047882795,0.6448414240379471
109,455.16987914773875,0.6495621764822425
110,457.2646540985565,0.6525515803040449
111,457.92434738565026,0.6534930130020471
112,462.3659334291891,0.6598314954668277
113,466.7084331070121,0.6660285741210253
114,469.33346807089515,0.6697746994746504
115,470.2524925411647,0.6710862175748079
116,472.37549398811564,0.6741159027621021
117,476.8120780378344,0.6804472469997254
118,477.32314368885665,0.6811765767111397
119,482.39756377210983,0.688418161676812
120,484.4786190467897,0.691387986473066
121,488.07025610754346,0.6965135268332625
122,491.49128244168344,0.701395592657934
123,492.86642020166175,0.7033580192534876
124,494.62766840406624,0.7058714549356144
125,496.36393261396074,0.708349236552533
126,500.3683755292492,0.7140638823909704
127,503.308015782682,0.7182589735175403
128,503.47443412602286,0.7184964652019845
129,503.9102138603409,0.7191183561610711
130,505.04399272588694,0.7207363451829558
131,505.2032942308001,0.7209636805954881
132,508.9219114195306,0.7262704312951143
133,508.5570469563255,0.7257497418433336
134,510.8081715477983,0.7289622685419536
135,515.8598193388358,0.7361713557076335
136,519.47382048162,0.7413288113207153
137,519.7895852951499,0.7417794318229265
138,520.3399423783034,0.7425648334084728
