count,x,y,yaw
2,60.0,-38.0,2.9700105714359357
2,57.21772177804149,-37.5178702310356,3.1224710415845873
2,53.07390962622649,-37.438624204209404,-3.1358944363025394
2,48.00129032674964,-37.46752940404155,2.9674119213441164
2,45.36486591168211,-37.00361398687536,2.8940436419075173
2,43.52695715957996,-36.53911424011977,2.8692209107345565
2,40.456314113208286,-35.68144302961327,3.105799046726829
2,36.395569538293486,-35.53603223017606,3.1109053399334172
2,33.65177874671948,-35.45180622102829,-3.1349955408636454
2,29.15169682644111,-35.48149419942689,3.1019294293715642
2,22.822819611625462,-35.23033880610096,-3.130449712773339
2,20.844322672355304,-35.25238599290561,3.0674421038478146
2,18.107529737165542,-35.0490785401809,2.924611437272483
2,15.576981490451836,-34.491214598116215,2.8933811430346172
2,13.167280488445119,-33.88050554076695,2.9500833666500452
2,6.764713046733274,-32.63914116576039,2.994154689490207
2,3.303261655340327,-32.125061396305014,2.9624454427270024
2,-1.897479708905406,-31.183266225761695,2.243732784439458
2,-2.9849226089548786,-29.818922900672934,2.181063227289172
2,-4.822577030563135,-27.191135379721032,2.0478874828468245
2,-5.342011148857171,-26.186270135003436,1.7989633970355514
2,-6.028768989123273,-23.22879390924456,1.9039450491482877
2,-6.812489850164031,-20.964011171039136,1.5903033199103043
2,-6.8674311829795744,-18.147874234701845,1.6065445441337316
2,-7.039996435980697,-13.322689917357195,1.653178628884198
2,-7.218025887809276,-11.166565212290173,1.5290257074096854
2,-7.172927890364594,-10.087534872492064,1.4904599315512816
2,-7.099003781440596,-9.169333272837896,1.5726090885461173
2,-7.111284962152112,-2.394495238647238,0.3354745548042796
2,-5.177715645778571,-1.7203499773733064,0.377944786625972
2,-2.1494295451662007,-0.5180247316198034,0.27287346152184927
2,-1.291529120353598,-0.27793772799676475,0.07447120231459406
2,5.0249396148755565,0.19332882385893413,0.1993635919110226
2,8.459753515146673,0.8873245980596813,0.25049787342102875
2,10.859658978323157,1.5013939844101358,0.27249367117715906
2,12.42353507611217,1.9384108238884679,0.7509822055951368
2,15.396698162077222,4.713658694023479,0.5579574979280519
2,18.335846377278493,6.54800410988171,0.6475975203612057
2,21.630343422619752,9.04002889738446,0.18723412709747683
2,24.690699589530617,9.619823108475018,0.026846152595321995
2,28.10282719388156,9.711447619621438,0.03218051239770755
2,30.750173486293697,9.79667000018705,0.20109003098867742
2,35.856815970984584,10.837634092096145,0.8523408676403325
2,37.03356486548555,12.183506807420102,1.246836129745169
2,38.290371125834525,15.926337495850369,1.2177583639182596
2,39.15656941654511,18.27710237301457,1.598859875155981
2,39.081845974303405,20.939054588893427,1.957369134408959
2,37.84751110537072,23.971414102885092,1.8377581053827075
2,37.17769254212208,26.42056657979804,1.8462191136669357
2,36.59811236679411,28.47141473070156,1.8038568466588902
2,35.69966735871928,32.25634917380081,1.8089521928907661
2,34.42503678025313,37.50686315668601,1.7001992463130808
2,33.90882292516158,41.47376963557793,1.6042406562199614
2,33.76670351299338,45.72161740848773,1.6127947798342859
2,33.40820086521011,54.25268969888897,1.6732628000109209
2,33.18625728309726,56.41111551758594,0.948947708894288
2,36.97661302953824,61.699712239145335,0.8755639594228315
2,38.644237967109596,63.69885289599376,0.6096630142662184
2,40.83714992256875,65.23042072132951,0.21303966578397127
2,42.45784327726078,65.58101278877004,0.39555707562574144
2,46.74564031367601,67.37145056675742,0.3997119574125145
2,48.8161193664087,68.246132162759,0.1082056834034295
2,52.961033176597496,68.69639406007774,0.23789062334274608
2,58.01215492498554,69.92120093935915,-0.2021144000194632
2,64.35115656251767,68.6222617478755,-0.197917124794365
2,65.81871065800253,68.32795480389902,-0.13123929914268515
2,70.6328692143767,67.6924954813107,-0.08724432717993172
2,71.99633870964958,67.57323776933484,-1.1033749164193605
2,72.84811215413797,65.88564267723724,-1.121943602428114
2,74.05369332750307,63.38257190347234,-1.5022001564416398
2,74.19981000232593,61.25581436981082,-1.5157113050198612
2,74.5085667528683,55.656390344818945,-1.539417960707457
2,74.75428337643416,47.82819517240947,-1.5394179607074587
2,75.0,40.0,-1.5394179607074587
