count,x,y,yaw
2,60.0,-38.0,0.3018177746567005
2,60.63550186157225,-37.80214978506102,0.34022060078612937
2,61.19367156197377,-37.60456602677186,0.36551407513402695
2,61.70785648812287,-37.4077816384321,0.40065093242860916
2,62.16741925268545,-37.213128903290674,0.43225397002075344
2,62.609273024957616,-37.0092788233159,0.48488799175865416
2,63.05262198194511,-36.77570505564276,0.6035716314299516
2,63.46827585770705,-36.48915619024868,0.8982988551127399
2,63.79934930507718,-36.07340571939017,0.9995874789297959
2,64.09645457337663,-35.61111124903604,1.0363926723008154
2,64.37623573285603,-35.13838638565946,1.050439024344299
2,64.64932136299292,-34.66182739626587,1.055777429895188
2,64.91964451392238,-34.184196421843694,1.0580727724411665
2,65.18906713047745,-33.70559715543119,1.059608726499662
2,65.45855062311678,-33.22516499807629,1.059697422184409
2,65.7268808586555,-32.746689395572936,1.0584072711588044
2,65.99169044680819,-32.27591634856658,1.0591197307813573
2,66.25518515662463,-31.8066988267111,1.0625534808644879
2,66.51825587881825,-31.334445324811167,1.0721547275257473
2,66.77852367555828,-30.856486307371636,1.0970173795486236
2,67.03080668356019,-30.364446723357762,1.1650128386337637
2,67.25150522778631,-29.85074906984801,1.3378856259379468
2,67.38543516942315,-29.28615777442499,1.4126116068232148
2,67.47589238163651,-28.719089950592494,1.4816381954246711
2,67.52270000816871,-28.195486183444856,1.5118493105871627
2,67.55264084908127,-27.688146612855764,1.5250323572970015
2,67.57563091881602,-27.186135575257506,1.5300051508887866
2,67.59630672095517,-26.679547256075054,1.5314675786387248
2,67.61699049148534,-26.153898559149162,1.5589403332206517
2,67.62309100151244,-25.63937194881778,1.6521081937018076
2,67.58543376163935,-25.177271976013298,1.6953772860989886
2,67.5304789485521,-24.73843917515885,1.719387135049974
2,67.46738916572265,-24.316981252627563,1.7259702501136556
2,67.39954467533182,-23.88328033480773,1.7212956630690899
2,67.32557103199909,-23.395475552799077,1.7197164195973003
2,67.25206660522235,-22.905546716754476,1.7188856726948338
2,67.18609898105545,-22.463349582790812,1.7235132284525327
2,67.11865053974796,-22.025131748760028,1.7368187983758623
2,67.0392228444087,-21.551120112446952,1.7423301734982004
2,66.954378072969,-21.061356823469477,1.7467556358790897
2,66.86526132725973,-20.560132378781102,1.7417430203091444
2,66.78038680640927,-20.068481164621538,1.7200227119248654
