num_sensors,ppm_area,coverage_ratio
1,438.7852396471153,0.19101505524527104
2,887.9930788892669,0.3865673493435316
3,916.1702389413717,0.3988336274624953
4,1118.6990568285235,0.4869998870399283
5,1065.7125100918345,0.46393341342676714
6,1340.161060530968,0.583408273306458
7,1380.3810336718655,0.6009171129329924
8,1439.974811496908,0.6268598925321415
9,1507.017903862084,0.6560455597670901
10,1523.1712189292227,0.6630775337059246
11,1562.0648356920226,0.6800089746099293
12,1593.181439296302,0.6935548718267471
13,1672.266582269011,0.727982768640599
14,1644.8997956069302,0.7160692679258827
15,1679.2697606994693,0.7310314411890702
16,1685.8958456484213,0.7339159547693397
17,1686.9552567332007,0.7343771450022868
18,1686.1561270980114,0.7340292623079268
19,1691.4554420162744,0.7363361970915311
20,1694.6199101418483,0.7377137754583752
21,1677.8419162651137,0.7304098619770405
22,1689.9091877483056,0.7356630708836923
23,1698.6785931950046,0.739480629713193
24,1691.2938392550163,0.736265847048776
25,1693.1891778769389,0.7370909390957787
26,1720.2862871445705,0.7488870419635654
27,1764.111676330481,0.7679654164850618
28,1768.7048489886706,0.7699649484879175
29,1771.2281613208693,0.7710634144365981
30,1781.5573981313378,0.7755600099501115
31,1780.7045269910582,0.7751887321283949
32,1785.036689842682,0.7770746395192177
33,1780.3496236791664,0.7750342331398185
34,1780.0708428805397,0.774912872335399
35,1787.399406020302,0.7781031936281935
36,1797.8610891594774,0.782657446602599
37,1799.6760649600194,0.7834475545448993
38,1814.3062087288367,0.7898164509154664
39,1815.2512710478632,0.79022786204503
40,1812.1240262332556,0.7888664879899042
41,1814.3197951599554,0.7898223654555563
42,1817.8053222956555,0.7913397094731447
43,1827.725877686877,0.7956583949367714
44,1837.9758536230308,0.8001204860528757
45,1839.8263776290667,0.8009260690882802
46,1841.231130829975,0.8015375960632835
47,1842.7793649925775,0.8022115841726829
48,1840.8463565933316,0.8013700934551089
49,1841.9718798914962,0.8018600641185516
50,1844.8921742447403,0.8031313470533786
51,1851.1461201803104,0.8058538584791153
52,1853.6921900968366,0.8069622314183571
53,1859.3289728772043,0.8094160750687576
54,1869.4514589423356,0.8138226664037477
55,1873.3445982512453,0.8155174549995696
56,1873.2917806285668,0.8154944620631573
57,1875.3405728301334,0.8163863565942565
58,1877.4996226776238,0.8173262492538805
59,1881.2438617132746,0.8189562175427444
60,1892.7560050869597,0.8239677642034398
61,1887.8971614251157,0.821852578443678
62,1904.5233718799495,0.8290904165056504
63,1908.3779220475335,0.8307684062069423
64,1909.9073922527518,0.8314342258593551
65,1906.0796222496397,0.8297678942863089
66,1913.396454358744,0.8329531087449014
67,1914.915054166734,0.8336141962200679
68,1919.568074923693,0.8356397817152926
69,1933.0603467778437,0.8415133317364317
70,1934.3098741937704,0.8420572847385328
71,1944.484643096441,0.8464866362035333
72,1952.5335174638535,0.8499905284110059
73,1957.3917555726132,0.8521054505571695
74,1962.031142080617,0.8541251006959099
75,1964.925752518758,0.8553852027294233
76,1967.0428343227359,0.8563068255672172
77,1970.85864461022,0.8579679507533228
78,1975.6662208601724,0.8600608184252597
79,1978.294980973913,0.8612051886387075
80,1981.7748004736968,0.8627200479683635
81,1981.545996629406,0.8626204434807726
82,1985.885190120411,0.8645094114986366
83,1988.6022459676497,0.8656922192274977
84,1989.643324454169,0.8661454287857251
85,2007.5957730430357,0.8739606140953954
86,2008.8069770033019,0.8744878838631058
87,2013.7343409716464,0.8766328983612777
88,2014.810872857615,0.8771015417409798
89,2018.4118430776898,0.8786691412483774
